Date,1 mo,2 mo,3 mo,6 mo,1 yr,2 yr,3 yr,5 yr,7 yr,10 yr,20 yr,30 yr
03/1990,,,8.023400167084377,8.119081035923141,8.12733500417711,8.360860864281918,8.382165261638946,8.381571732361207,8.440053922685502,8.422820308346624,,8.441812485759854
06/1990,,,8.011328282828282,8.16871572871573,8.27235137085137,8.57240836940837,8.624289321789325,8.644795093795095,8.704751803751806,8.674560606060606,,8.648327561327562
09/1990,,,7.722334822563655,7.7959471141622165,7.827746903490612,8.099306963059826,8.250275325996157,8.42705277686971,8.628664414659838,8.70573172060586,,8.79684028912862
12/1990,,,7.213333333333332,7.313681818181817,7.305121212121212,7.597075757575759,7.757212121212127,8.025575757575758,8.29021212121212,8.395515151515145,,8.545075757575761
03/1991,,,6.206763993316624,6.322983709273184,6.435709273182957,7.031693400167085,7.269495822890559,7.648210526315789,7.90186925647452,8.018880534670009,,8.1972447786132
06/1991,,,5.736696969696969,5.958000000000002,6.2416212121212125,6.895939393939393,7.2467121212121235,7.779757575757574,8.011999999999999,8.130272727272725,,8.316272727272727
09/1991,,,5.540712121212121,5.6957272727272725,5.8853787878787855,6.5108030303030295,6.89106060606061,7.49078787878788,7.787772727272727,7.940909090909089,,8.181303030303031
12/1991,,,4.672616769195716,4.773857370699475,4.867068428647373,5.49897812713602,5.841877420824791,6.558482949798741,6.996849700007594,7.344404192298925,,7.851312751575911
03/1992,,,3.9982756132756134,4.139074960127592,4.357622085516822,5.285066833751044,5.766298701298702,6.588735475051265,6.974713298397508,7.304182805498595,,7.802062352851827
06/1992,,,3.7676825396825397,3.92645238095238,4.218152236652237,5.205989177489175,5.778670274170275,6.653170995670995,7.0396341991341975,7.378098124098126,,7.898399711399712
09/1992,,,3.1490548340548337,3.2453463203463198,3.4173665223665224,4.147532467532467,4.682121212121213,5.604336219336218,6.146709956709955,6.615165945165948,,7.443203463203464
12/1992,,,3.1433367509683303,3.3452430318219784,3.5652832839674944,4.445322396901344,4.997419305840357,5.904760006075794,6.367193362193362,6.744068504594824,,7.52503683451052
03/1993,,,3.0260106788710908,3.181357742181541,3.405049580472921,4.1459954233409615,4.637627765064836,5.48580472921434,5.9281998474446995,6.278054919908467,,7.084263920671243
06/1993,,,3.033340548340549,3.174300865800866,3.3813831168831174,3.9927518037518044,4.41259668109668,5.182558441558442,5.621542568542567,5.989250360750359,,6.860186147186147
09/1993,,,3.0699927849927846,3.214675324675324,3.424862914862914,3.97347041847042,4.31946608946609,4.950238095238094,5.301854256854255,5.61432178932179,,6.315346320346319
12/1993,,,3.133075757575758,3.305318181818181,3.5260909090909087,4.080757575757578,4.404333333333334,4.972272727272728,5.328363636363636,5.61069696969697,6.282257575757576,6.133606060606059
03/1994,,,3.3219652936689545,3.567506483600305,3.909139969488939,4.536475972540046,4.9022524790236455,5.47452250190694,5.810157894736842,6.068755530129672,6.651529366895499,6.5626826849733035
06/1994,,,4.099078757499811,4.584209387104124,5.1324493050808835,5.8163108528898,6.199527606896029,6.666555023923446,6.905739728108148,7.085600744284956,7.484601655654288,7.358776106934002
09/1994,,,4.606555900621118,5.091746376811593,5.6005103519668715,6.233257418909591,6.554836438923394,6.956886473429953,7.156669082125602,7.330409937888201,7.71999551414769,7.592489302967565
12/1994,,,5.438587301587301,6.033587301587299,6.596896825396823,7.155507936507934,7.397007936507937,7.63223015873016,7.737642857142858,7.837603174603177,8.089373015873017,7.962642857142858
03/1995,,,5.917136155606407,6.329009916094584,6.726360411899314,7.131410373760487,7.267347444698703,7.38972692601068,7.458211670480549,7.484585430968726,7.752805110602594,7.635301678108315
06/1995,,,5.774904306220097,5.879529505582139,5.96859649122807,6.151570972886763,6.249585326953746,6.401060606060607,6.500502392344498,6.621180223285486,7.017647527910687,6.961236044657096
09/1995,,,5.530884057971014,5.601978260869565,5.6555362318840565,5.855623188405796,5.959702898550721,6.084637681159421,6.247413043478262,6.321253623188408,6.768579710144929,6.710144927536231
12/1995,,,5.41879365079365,5.47315873015873,5.443444444444446,5.500071428571428,5.5759761904761875,5.690214285714288,5.8095476190476205,5.895579365079366,6.300849206349209,6.233373015873014
03/1996,,,5.07086507936508,5.08597619047619,5.124,5.266277777777777,5.377825396825396,5.569357142857143,5.788857142857143,5.908817460317461,6.382698412698413,6.299396825396826
06/1996,,,5.157621212121213,5.353545454545454,5.661515151515153,6.11642424242424,6.288030303030304,6.491196969696969,6.656939393939395,6.720060606060606,7.101030303030303,6.926939393939395
09/1996,,,5.241590909090909,5.4396515151515175,5.783575757575757,6.17769696969697,6.355833333333334,6.5406666666666675,6.667727272727274,6.777636363636364,7.093227272727272,6.967000000000001
12/1996,,,5.111043897622843,5.277793726741096,5.481687552213866,5.798736994000151,5.9345746943115385,6.1039025594288745,6.238805346700086,6.346567175514544,6.707540442014124,6.6141987544619125
03/1997,,,5.19743984962406,5.3506274018379285,5.644381370091895,6.042838763575606,6.188948621553884,6.356426900584794,6.481291979949874,6.564340434419381,6.909435254803678,6.815687134502923
06/1997,,,5.190721500721502,5.487063492063491,5.849870129870129,6.273203463203463,6.421190476190476,6.56731601731602,6.658888888888886,6.696738816738815,7.021681096681097,6.9336075036075036
09/1997,,,5.186277056277056,5.342229437229437,5.543463203463201,5.903953823953825,6.012200577200576,6.129033189033188,6.23108225108225,6.242532467532464,6.592308802308803,6.527936507936508
12/1997,,,5.232794612794613,5.37570707070707,5.479528619528618,5.733198653198653,5.7786363636363625,5.835084175084176,5.926919191919192,5.904393939393938,6.21750841750842,6.141936026936027
03/1998,,,5.190272727272727,5.250964114832535,5.314155502392345,5.4454194577352455,5.458676236044656,5.50681658692185,5.614249601275918,5.588836523125998,5.949471291866029,5.883411483253589
06/1998,,,5.11564935064935,5.3143311688311705,5.409227994227993,5.559261904761904,5.569029581529583,5.587998556998556,5.659132034632035,5.59549422799423,5.935328282828283,5.851315295815297
09/1998,,,4.958181818181818,5.06336940836941,5.09145743145743,5.13098124098124,5.107041847041846,5.119978354978354,5.213795093795095,5.20331168831169,5.6061544011544,5.474018759018759
12/1998,,,4.366115667957774,4.450404799878485,4.388442697653224,4.379422799422798,4.411899445583656,4.390551378446115,4.627499810131391,4.667456140350878,5.378697121591856,5.105996050732894
03/1999,,,4.522700228832953,4.580770404271548,4.6660488176964146,4.848207475209763,4.87258581235698,4.885232646834478,5.084561403508772,4.9845537757437075,5.658047292143402,5.3678642257818465
06/1999,,,4.58518181818182,4.773363636363636,4.87860606060606,5.283318181818181,5.354181818181819,5.441878787878788,5.657409090909092,5.541196969696969,6.088757575757576,5.798348484848482
09/1999,,,4.793910533910535,4.9754256854256855,5.160353535353535,5.631616161616161,5.71005772005772,5.773946608946613,6.071414141414142,5.882077922077921,6.4019913419913435,6.041132756132754
12/1999,,,5.200939393939394,5.437530303030303,5.608257575757574,5.9430151515151515,6.001242424242424,6.062954545454548,6.293106060606061,6.140484848484846,6.613848484848485,6.253287878787877
03/2000,,,5.6966376811594195,5.956159420289855,6.187224637681159,6.526253623188405,6.55658695652174,6.58713768115942,6.641840579710145,6.4790072463768125,6.593978260869565,6.303659420289855
06/2000,,,5.892647527910686,6.232400318979269,6.216539074960127,6.565015948963317,6.516802232854867,6.417089314194576,6.42738437001595,6.176084529505584,6.338548644338116,5.973771929824562
09/2000,,,6.198297101449275,6.2925942028985515,6.130347826086957,6.216398550724637,6.155949275362321,6.058123188405794,6.084811594202898,5.8930289855072475,6.103666666666666,5.79786231884058
12/2000,,,6.195984126984128,6.192587301587303,5.902261904761904,5.71320634920635,5.6306269841269865,5.549492063492061,5.633857142857143,5.565404761904763,5.884936507936509,5.689849206349206
03/2001,,,4.941985266195792,4.823530796688691,4.599202931571352,4.586371610845294,4.636787423103214,4.795871496924128,5.036857294752031,5.048451431609327,5.586859573175363,5.445078225867699
06/2001,,,3.744806637806638,3.7609098124098126,3.7780180375180357,4.191333333333334,4.426122655122654,4.832790043290042,5.137531746031748,5.27221645021645,5.841838383838385,5.698507936507936
09/2001,3.293120204603581,,3.2411707871554416,3.2163569195794257,3.3040945073681627,3.6382620874436724,3.9339158851946547,4.483703974343359,4.8055945276661385,4.979753176632971,5.618761417610522,5.526584256891162
12/2001,1.991424242424242,,1.94140909090909,1.970136363636363,2.242651515151513,2.8718030303030293,3.3282727272727244,4.090666666666664,4.529424242424244,4.768606060606062,5.477681818181819,5.304484848484846
03/2002,1.7328863826232246,,1.7555346700083543,1.897045530492899,2.319401002506266,3.200286131996658,3.7483274853801167,4.458807017543859,4.880253550543024,5.077097744360902,5.743276106934001,
06/2002,1.7262121212121215,,1.745818181818182,1.906287878787878,2.342166666666666,3.2266060606060605,3.764696969696969,4.442454545454545,4.839272727272726,5.100651515151515,5.770121212121211,
09/2002,1.6908939393939395,,1.6733030303030303,1.6707121212121212,1.8110606060606056,2.231651515151515,2.6167272727272732,3.34660606060606,3.8916969696969694,4.260151515151516,5.188818181818182,
12/2002,1.3602829042302726,,1.3585630743525485,1.385019746335536,1.530526315789473,1.8903888509151667,2.267887142097669,3.011023391812865,3.6025651249335464,4.007237031973874,5.0166427432216905,
03/2003,1.1806432748538012,,1.1750877192982456,1.191278195488722,1.3002005012531328,1.6483458646616542,2.06938178780284,2.911361737677527,3.4648538011695904,3.919448621553885,4.902698412698412,
06/2003,1.0704761904761906,,1.0588888888888885,1.0728571428571427,1.1526984126984126,1.4215873015873017,1.7736507936507937,2.5700000000000003,3.1284126984126988,3.6206349206349207,4.591269841269842,
09/2003,0.9191125541125547,,0.9482467532467528,1.018051948051948,1.2208513708513706,1.6815223665223664,2.2004329004329004,3.142344877344877,3.719949494949495,4.231659451659452,5.1740981240981245,
12/2003,0.9146296296296298,,0.9361952861952857,1.0242255892255894,1.2988888888888888,1.8605555555555557,2.38473063973064,3.2472558922558927,3.783383838383839,4.286060606060605,5.163367003367003,
03/2004,0.9075202135774219,,0.9329050343249431,1.0033943554538522,1.2235251716247142,1.6929420289855075,2.172614035087719,2.9921170861937454,3.5126167048054917,4.020410755148741,4.886911136536994,
06/2004,0.9537460317460318,,1.0952301587301585,1.3592619047619046,1.7755158730158733,2.4559285714285717,2.973928571428571,3.7230238095238106,4.1859206349206355,4.598976190476191,5.357365079365079,
09/2004,1.369978354978355,,1.514076479076479,1.788888888888889,2.075937950937951,2.5573304473304472,2.9200865800865796,3.5061183261183264,3.9224747474747494,4.301724386724387,5.068290043290044,
12/2004,1.8377878787878785,,2.041575757575757,2.2909393939393947,2.466151515151516,2.8161060606060615,3.05369696969697,3.4902272727272727,3.8525757575757598,4.173969696969697,4.874666666666666,
03/2005,2.351445773524721,,2.582127591706539,2.8693692185007973,3.0640821371610847,3.4446850079744817,3.6128149920255184,3.879590111642743,4.089005582137161,4.294830143540669,4.7573883572567786,
